Source	Target	Weight
108650	133190	5.55655
108650	206700	5.77263
108650	270500	5.06463
108650	271320	4.6859
108650	301310	5.36426
108650	604326	6.00209
108650	605259	6.37486
108650	605361	5.87967
108650	608687	5.90036
108650	608768	6.10291
108700	130950	4.54152
108700	176250	4.39134
108700	209100	5.82948
108700	256851	4.60506
108700	302600	4.84554
108700	607694	4.58321
108720	114290	5.36378
108720	127300	4.56814
108720	150250	5.62472
108720	224400	5.73989
108720	224410	5.92617
108720	258315	5.37262
108720	258480	6.38261
108720	269250	5.72647
108721	218090	5.77346
108721	222600	5.66923
108721	226900	6.12646
108721	245160	4.71993
108721	245600	5.91728
108721	256050	6.65534
108721	264180	4.60348
108721	266280	5.67592
108721	268305	5.94151
108721	300280	5.35617
108725	107800	4.88393
108725	144250	6.31383
108725	227500	3.95936
108725	238400	4.44845
108725	604499	8.33813
108725	605201	6.0556
108725	608318	6.57628
108725	608320	6.45893
108725	608446	7.46066
108725	608901	7.34617
108760	124700	5.60038
108760	128980	6.06335
108760	166760	4.61303
108760	221300	5.96279
108760	275230	5.60572
108760	608814	6.53628
108770	209600	3.89107
108770	212110	6.24132
108770	226100	3.33632
108770	604145	5.55807
108770	604765	5.14153
108770	605582	6.26955
108770	607487	6.26649
108800	105805	6.01615
108800	106700	3.66983
108800	108900	6.59676
108800	178650	5.41558
108800	300442	6.47179
108800	601322	4.5698
108800	605067	6.41027
108800	607941	6.15033
108900	108800	6.59676
108900	113301	6.56618
108900	178650	5.90657
108900	212090	6.98659
108900	224700	4.66895
108900	255960	3.64776
108900	271950	4.36079
108900	277200	6.33419
108900	300442	5.42344
108900	601322	5.73138
108900	603595	4.72918
108900	607941	7.71267
108900	608281	4.38082
108950	194200	3.9951
108950	604169	2.93557
108950	607554	3.0333
108950	608583	3.33349
108950	608988	4.9898
108985	116600	5.71593
108985	180210	4.49567
108985	600790	4.90735
108985	608051	4.68795
108985	608908	4.87684
109000	107000	6.99023
109000	135800	5.02394
109000	142700	4.5981
109000	147900	4.82284
109000	186550	4.61225
109000	314570	4.59441
109050	157900	5.11974
109050	183700	5.65019
109050	185750	6.644
109050	186350	6.36863
109050	251255	6.15453
109050	601222	6.67628
109050	601379	5.74188
109050	602849	6.47273
109100	187360	4.9079
109100	240300	4.01478
109100	266600	4.02591
109100	269200	3.99645
109100	608392	3.79238
109120	126800	4.89147
109120	157900	4.90059
109120	217990	4.50653
109120	218000	4.90279
109120	222448	4.54236
109120	601088	4.93421
109120	602849	5.13231
109130	134600	5.36578
109130	166450	5.35809
109130	179800	5.50005
109130	241520	5.18065
109130	241530	6.18217
109130	259730	4.50629
109150	143100	4.72156
109150	164400	7.22805
109150	164500	5.93023
109150	183086	6.15194
109150	183090	7.42485
109150	312920	5.09043
109160	114650	4.58916
109160	181200	5.5244
109160	220150	4.423
109160	264110	5.9807
109160	314900	5.87587
109160	601676	5.12342
109200	131200	4.54798
109200	166950	3.85094
109200	177750	5.75671
109200	184700	4.75547
109200	241090	8.08186
109200	252200	5.75671
109200	260910	5.54508
109200	608115	5.01765
109200	608509	4.47335
109300	127800	5.84573
109300	182255	5.19843
109300	186850	6.52466
109300	215050	4.89404
109300	301940	4.75448
109350	133239	4.33336
109350	142400	3.23111
109350	148500	3.80231
109350	175020	3.71961
109350	600263	4.30743
109390	132800	4.83614
109390	146530	5.81714
109390	166970	5.01495
109390	182000	6.13973
109390	273120	4.98361
109390	301845	6.69819
109390	604451	6.07708
109390	605462	6.25272
109400	180200	4.78722
109400	211750	4.80256
109400	261540	4.6651
109400	311200	4.73511
109400	312870	4.83649
109500	102400	3.98523
109500	158300	3.84773
109500	186700	4.84692
109500	272480	5.00088
109500	309645	4.20972
109543	151400	3.96785
109543	151440	4.24775
109543	151441	4.9113
109543	159558	6.37785
109543	308960	5.0609
109560	146850	4.71787
109560	151020	4.69236
109560	157860	4.69236
109560	243080	4.56121
109560	601083	4.3332
109560	608957	4.6065
109650	106300	3.71143
109650	108050	3.78051
109650	142730	3.8331
109650	186580	3.66514
109650	607665	3.49131
109650	608068	4.8005
109720	181750	3.49782
109720	184900	3.75145
109720	217070	3.50879
109720	235555	3.42071
109720	602347	3.63212
109730	107601	5.32875
109730	132900	4.57395
109730	314400	5.37584
109730	604381	5.39008
109730	608967	4.53305
109740	145400	5.40094
109740	163955	4.89266
109740	164000	7.41844
109740	164745	5.41431
109740	194000	5.80741
109740	210400	7.49912
109740	251240	4.73198
109740	607812	5.59595
109740	608811	5.61334
109800	179760	5.61459
